Machine_ID,Machine_Type,Failure_Prob,Health_Score,Risk_Tier,Scenario_Name,Maintenance_Start_Hour,Maintenance_Planned,Delay_Hours,Expected_Downtime_Hours,Expected_Maintenance_Cost,Expected_Downtime_Cost,Expected_Production_Loss,Expected_Total_Cost,Decision,Decision_Reason
MCH-001,Conveyor,0.007,99.3,Healthy,Preventive Now,0,1,0,21.04,20373.69,43391.46,7606.78,64132.06,Delay,"Low failure risk (p=0.01); delay saves ₹60,832 with only 20.8h extra expected downtime."
MCH-001,Conveyor,0.007,99.3,Healthy,Delay 72h,72,0,72,0.29,247.51,606.21,106.27,3299.77,Delay,"Low failure risk (p=0.01); delay saves ₹60,832 with only 20.8h extra expected downtime."
MCH-002,CNC Mill,0.984,1.6,Critical,Preventive Now,0,1,0,30.44,23304.16,18705.18,9583.57,96352.35,Preventive Now,"High failure risk (p=0.98) makes delay expensive; PM now saves ₹343,890 and 15.8h downtime."
MCH-002,CNC Mill,0.984,1.6,Critical,Delay 72h,72,0,72,46.25,49534.43,28421.71,14561.82,440242.84,Preventive Now,"High failure risk (p=0.98) makes delay expensive; PM now saves ₹343,890 and 15.8h downtime."
MCH-003,Conveyor,0.005,99.5,Healthy,Preventive Now,0,1,0,31.75,12715.38,29018.53,11475.75,41816.35,Delay,"Low failure risk (p=0.01); delay saves ₹40,800 with only 31.4h extra expected downtime."
MCH-003,Conveyor,0.005,99.5,Healthy,Delay 72h,72,0,72,0.32,176.56,289.75,114.59,1015.92,Delay,"Low failure risk (p=0.01); delay saves ₹40,800 with only 31.4h extra expected downtime."
MCH-004,Hydraulic Press,0.005,99.5,Healthy,Preventive Now,0,1,0,7.71,21117.12,16293.73,2395.18,37679.03,Delay,"Low failure risk (p=0.01); delay saves ₹35,486 with only 7.6h extra expected downtime."
MCH-004,Hydraulic Press,0.005,99.5,Healthy,Delay 72h,72,0,72,0.08,242.65,162.69,23.92,2193.18,Delay,"Low failure risk (p=0.01); delay saves ₹35,486 with only 7.6h extra expected downtime."
MCH-005,Conveyor,0.992,0.8,Critical,Preventive Now,0,1,0,35.04,24237.86,83875.67,12664.13,179971.6,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹489,336 and 18.5h downtime."
MCH-005,Conveyor,0.992,0.8,Critical,Delay 72h,72,0,72,53.57,62009.98,128243.93,19363.16,669307.7,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹489,336 and 18.5h downtime."
MCH-006,Hydraulic Press,0.007,99.3,Healthy,Preventive Now,0,1,0,27.46,20759.5,15009.94,8528.21,36150.91,Delay,"Low failure risk (p=0.01); delay saves ₹32,977 with only 27.1h extra expected downtime."
MCH-006,Hydraulic Press,0.007,99.3,Healthy,Delay 72h,72,0,72,0.38,421.11,209.7,119.14,3173.92,Delay,"Low failure risk (p=0.01); delay saves ₹32,977 with only 27.1h extra expected downtime."
MCH-007,Hydraulic Press,0.006,99.4,Healthy,Preventive Now,0,1,0,40.97,24360.41,41568.15,12726.25,66317.25,Delay,"Low failure risk (p=0.01); delay saves ₹62,949 with only 40.5h extra expected downtime."
MCH-007,Hydraulic Press,0.006,99.4,Healthy,Delay 72h,72,0,72,0.49,278.99,497.92,152.44,3368.17,Delay,"Low failure risk (p=0.01); delay saves ₹62,949 with only 40.5h extra expected downtime."
MCH-008,Welding Unit,0.006,99.4,Healthy,Preventive Now,0,1,0,29.95,17852.4,54931.11,8445.39,72988.87,Delay,"Low failure risk (p=0.01); delay saves ₹70,751 with only 29.6h extra expected downtime."
MCH-008,Welding Unit,0.006,99.4,Healthy,Delay 72h,72,0,72,0.36,210.47,657.99,101.16,2237.5,Delay,"Low failure risk (p=0.01); delay saves ₹70,751 with only 29.6h extra expected downtime."
MCH-009,Lathe,0.016,98.4,Healthy,Preventive Now,0,1,0,5.12,16355.04,6917.48,1300.05,23685.81,Delay,"Low failure risk (p=0.02); delay saves ₹19,334 with only 5.0h extra expected downtime."
MCH-009,Lathe,0.016,98.4,Healthy,Delay 72h,72,0,72,0.16,1376.49,220.3,41.4,4352.05,Delay,"Low failure risk (p=0.02); delay saves ₹19,334 with only 5.0h extra expected downtime."
MCH-010,CNC Mill,0.007,99.3,Healthy,Preventive Now,0,1,0,27.86,16974.33,20268.64,8771.6,37759.48,Delay,"Low failure risk (p=0.01); delay saves ₹33,662 with only 27.5h extra expected downtime."
